Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels,Status,Month
"Samsung 77"" 4K UHD HDR OLED Tizen Smart TV(QN77S95CAFXZC) - 2023 - Titan Black",127,"$5,499.99",15.5,Samsung,OLED,77,4K,New,July
"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7590PUB) - 2022 - Dark Iron Grey",30,$649.99,0,LG,LED,50,4K,New,July
"TCL 6-Series 75"" 4K UHD HDR QLED Roku OS Smart TV (75R635-CA)",435,"$1,999.99",15.5,TCL,LED,75,4K,New,July
"LG G3 77"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED77G3PUA) - 2023 - Satin Silver",71,"$5,999.99",15.5,LG,OLED,77,4K,New,July
"LG 75"" 4K UHD HDR LED webOS Smart TV (75UQ7590PUB) - 2022 - Dark Iron Grey",789,"$1,499.99",15.5,LG,LED,75,4K,New,July
"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q80BAFXZC) - Titan Black",156,"$1,499.95",15.5,Samsung,LED,65,4K,New,July
"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU690TFXZC) - 2022 - Only at Best Buy",1650,"$1,399.99",$50,Samsung,LED,75,4K,New,July
"LG 42"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED42C3PUA) - 2023",49,"$1,799.99",0,LG,OLED,42,4K,New,July
"Amazon Fire TV 4-Series 50"" 4K UHD HDR LED Smart TV (B08T6G1DCB) - 2021",16,$499.99,15.5,Amazon fire TV,LED,50,4K,New,July
"Sony X85K 75"" 4K UHD HDR LED Smart Google TV (KD75X85K) - 2022",285,"$1,799.99",15.5,Sony,LED,75,4K,New,July
"Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58TU690TFXZC) - 2023",0,$699.99,15.5,Samsung,LED,58,4K,New,July
"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65CU8000FXZC) - 2023",153,"$1,099.99",12.2,Samsung,LED,65,4K,New,July
"Sony W830K 32"" 720p HD HDR LED Smart Google TV (KD32W830K) - 2022",84,$399.99,0,Sony,LED,32,720p,New,July
"TCL 5-Series 65"" 4K UHD HDR QLED Smart Google TV (65S546-CA) - 2021",223,$899.99,$500,TCL,LED,65,4K,New,July
"Samsung 65"" 4K UHD HDR OLED Tizen Smart TV (QN65S95CAFXZC) - 2023 - Titan Black",115,"$3,499.99",15.5,Samsung,OLED,65,4K,New,July
"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7570PUJ) - 2023 - Black",3,$529.98,0,LG,LED,50,4K,New,July
"Open Box - Samsung 55"" 4K UHD HDR Mini-LED Tizen OS Smart TV (QN55QN90AAFXZC) - 2021 - Titan Black",2,"$1,359.99",$248,Samsung,LED,55,4K,Open Box,July
"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43AU8000FXZC) - 2021",0,$399.99,0,Samsung,LED,43,4K,Open Box,July
"Samsung 98"" 8K UHD HDR QLED Tizen Smart TV (QN98Q900RBFXZC)",167,"$99,999.99",15.5,Samsung,LED,98,8K,New,July
"LG G3 55"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED55G3PUA) - 2023 - Satin Silver",56,"$3,099.99",15.5,LG,OLED,55,4K,New,July
"Sony BRAVIA XR 77"" 4K UHD HDR OLED Google TV Smart TV (XR77A80K) - 2022 - Titanium Black",1134,"$3,999.99",$300,Sony,OLED,77,4K,New,July
"Toshiba 75"" 4K UHD HDR LED Smart TV (75C350KC) - Fire TV Edition - 2021 - Only at Best Buy",4,$999.95,15.5,Toshiba,LED,75,4K,New,July
"Samsung 75"" 4K UHD HDR Neo QLED Tizen Smart TV (QN75QN88BAFXZC) - Titan Black",6,"$2,599.99",15.5,Samsung,LED,75,4K,New,July
"Sony BRAVIA XR A90K 48"" 4K UHD HDR OLED Smart Google TV (XR48A90K) - 2022",510,"$1,899.99",15.5,Sony,OLED,48,4K,New,July
"LG 48"" 4K UHD HDR OLED webOS ThinQ AI Smart TV (OLED48A2PUA) - 2022",945,$999.99,$20,LG,OLED,48,4K,New,July
"Sony 43"" 4K UHD HDR LED Smart Google TV (KD43X77L) - 2023",0,$629.99,0,Sony,LED,43,4K,New,July
"Samsung 65"" 4K UHD OLED Tizen Smart TV (QN65S95BAFXZC) - Open Box",5,"$2,079.99",$13,Samsung,OLED,65,4K,Open Box,July
"LG 70"" 4K UHD HDR LED webOS Smart TV (70UQ7590PUB) - 2022 - Dark Iron Grey",795,"$1,099.99",$100,LG,LED,70,4K,New,July
"Sony 65"" 4K UHD HDR Mini-LED Smart Google TV (XR65X93L) - 2023",0,"$2,999.99",12.2,Sony,LED,65,4K,New,July
"Sony BRAVIA XR A90K 42"" 4K UHD HDR OLED Smart Google TV (XR42A90K) - 2022",178,"$1,749.99",15.5,Sony,OLED,42,4K,New,July
"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q70CAFXZC) - 2023",79,"$1,599.99",$200,Samsung,LED,65,4K,New,July
"Sony 85"" 4K UHD HDR LED Smart Google TV (KD85X77L) - 2023",0,"$1,999.99","$1,500",Sony,LED,85,4K,New,July
"Samsung The Frame 85"" 4K UHD HDR QLED Tizen Smart TV (QN85LS03BAFXZC) - 2022 - Charcoal Black",457,"$3,999.99",$50,Samsung,LED,85,4K,New,July
"Samsung 32"" 4K UHD HDR QLED Smart TV (QN32Q60CAFXZC) - 2023 - Titan Grey",173,$599.99,7.5,Samsung,LED,32,4K,New,July
"Insignia 24"" 1080p FHD LED Smart TV (NS-24F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",567,$299.99,15.5,Insignia,LED,24,1080p,New,July
"Open Box - Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70TU7000FXZC) - Titan Grey",0,$799.99,0,Samsung,LED,70,4K,Open Box,July
"Samsung 98"" 4K UHD HDR QLED Tizen Smart TV (QN98Q80CAFXZC) - 2023 - Titan Black",0,"$10,999.99",$200,Samsung,LED,98,4K,New,July
"LG 55"" 4K UHD HDR QNED webOS Smart TV (55QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue",833,$899.99,0,LG,QNED,55,4K,New,July
"Samsung The Frame 32"" 1080p HD HDR QLED Tizen Smart TV (QN32LS03BBFXZC) - 2022 - Charcoal Black",9,$699.95,$200,Samsung,LED,32,1080p,New,July
"Samsung 50"" 4K UHD HDR QLED Smart TV (QN50Q80CAFXZC) - 2023 - Titan Black",53,"$1,099.99",$300,Samsung,LED,50,4K,New,July
